evaluation,label,正面为0，中立为1，负面为2,,,,,,,,,,,,,,,,,,,
感染过程中的身体数据变化估计很多我们的粉丝都已经阳康了吧，或者有些还在痛苦的，正在生病的过程中。今天邹指导就来简单说说，他在阳的过程中身体数据的一些变化，不是一个特别科学的分析，只是一些观察，或许可以给一些常年运动的小伙伴们一些参考，在生病前身体给出了什么样的信号。,1,1,,,,,,,,,,,,,,,,,,,
终究是医护扛下了所有，每天都在阳群穿梭，大家都拖着病体去上班，累到不想说话，希望每一份无惧都被感动，每一份付出都被铭记。,1,1,,,,,,,,,,,,,,,,,,,
"周一有症状，现在周五了天天核酸天天阴，我真的如果不是抗原我到现在还以为是感冒！所以大家阳了在家，我阳了低烧两天还在加班我的跨年和元旦快乐假期也没了,原来我就是大冤种。","2,80,83","2,80,83",,,,,,,,,,,,,,,,,,,
阳了之后很容易焦虑，烦！,"2,8,10","2,8,10",,,,,,,,,,,,,,,,,,,
12月，在全面放开后中招了。有发烧、头重和咳嗽症状，并且嗅觉在短期内受到影响；刀片割嗓子，水泥常灌鼻，全身肌肉酸痛现象。只吃过两粒布洛芬，喝过两次板蓝根颗粒冲剂。做了两次抗原自测，都是阴性，可能试剂的精确度还不够。看来此次新冠病毒还算手下留情。,1,1,,,,,,,,,,,,,,,,,,,
阳阳第三天我不发烧了，进入到咳嗽的队伍中，我妈开始发烧了，老天保佑，让她发一会烧就退了吧，千万不要咳嗽。,1,1,,,,,,,,,,,,,,,,,,,
阳了12天了，一直没有完全转阴，持续咳嗽了十天，而且断断续续的低烧，一查没想到肺部已经出现纤维化，不是说不入肺嘛？二十多岁，没有基础病，这段时间也特别注意休息保暖，心态也很好，但是还是入肺了，幸亏早发现早治疗，大家也要多多注意，有持续剧烈咳嗽的情况，一定要尽早就医，不要拖！,1,1,,,,,,,,,,,,,,,,,,,
阳后感觉状态更好了，感染了个好毒株，胃口好，睡眠好，精神好，今天献了血，还干了几台手术。,"0,7,9","0,7,9",,,,,,,,,,,,,,,,,,,
三甲医院都在优先诊治重症患者，不紧急的普通手术患者只有稍稍延后安排手术。过了腊八盼来年，又是四季的山河无恙。一切都会好起来的，大家喜乐安康。,"0,57,62","0,57,62",,,,,,,,,,,,,,,,,,,
不会有人跟我一样，低烧没药吃，只能熬到38.5以上吃了布洛芬才能睡，但这样持续了三个晚上，已经绷不住了，第四个晚上诊所在呼唤我“没关系，我会出手…”药效上来了，晚安家人们,1,1,,,,,,,,,,,,,,,,,,,
昨天晚上儿子高烧39.6°，怕我担心，今天早上才告诉我，我马上就感觉心一疼，如果在一起住，就不会让儿子高烧一夜了。今天处理完手里的事情，马上到儿子这边，给他做了饭菜，又一直物理降温，好不容易，才出了汗希望儿子明天就不会再发烧了,1,1,,,,,,,,,,,,,,,,,,,
必须给大家安利一下我一直在喝的两个预防新冠的代茶饮了:1.国家中药管理局的方：生黄芪九克、金银花五克、广藿香冲泡，一人量，每天一次，预防新冠；2. 一个江西神医推荐的预防方：炙甘草二十克，干姜十克，可供三、五人服用，一天的量。只望所有小伙伴安康。,1,1,,,,,,,,,,,,,,,,,,,
杭州机场强迫落地乘客隔离。不让送药。把人赶上大巴才告诉隔离酒店的位置。很多人被送去行车两小时外的千岛湖，住在没有暖气没有网路没有热水的隔离点，在零度左右的气温里。落地的人都是阴的。酒店的员工都是阳的。你们凭什么隔离我们？你们害人。我们是去救人。,"2,113,115","2,113,115",,,,,,,,,,,,,,,,,,,
新冠疫苗为什么很难防止Omicron感染？抗体是通过与病毒尖峰蛋白上的区域结合来攻击病毒，但是Omicron变种在两个重要的尖峰区域有许多突变(图中的红色部分)，这让通常能阻止病毒入侵的抗体失效。不是我军无能，实在是敌人太狡猾。,"2,109,114","2,109,114",,,,,,,,,,,,,,,,,,,
止步四强新冠感染不会放弃任何人，包括我但是幸运的是，我就阳了两天，低烧一天一夜头贴着朋友给的清凉贴。,1,1,,,,,,,,,,,,,,,,,,,
现在用于治疗新冠的国产药阿兹夫定片原本竟然是抗HIV药物～河南真实生物科技有限公司和上海复星医药股份有限公司共同研发，河南师范大学常俊标教授团队领衔。 这算歪打正着么？,1,1,,,,,,,,,,,,,,,,,,,
"对待疫情的态度能看出历史疫情防控的经验,这次西方国家为什么很早就已常态我们为什么现在才常态？无可否认最大限度保护人民生命安全没有问题,但很明显是需要发展的代价，鱼和熊掌的关系。资本主义选择了发展，社会主义选择了人民。而发展是第一位的，人民也是至上的，那么发展和人民其实不矛盾，因为发展还要靠人民，发展为了人民没有发展也是损害人民利益。资本主义社会主义发展人民而最终胜出的还是发展这是历史规律。",1,1,,,,,,,,,,,,,,,,,,,
理一下，说起来就是两夜、一天，算是轻症吧：12.28. 傍晚，体温37.6°c，下肢有些微酸涨。晚八点多时，下肢有明显热感。12.29. 天亮前体温接近39度，上午九时许，体温38.4°c，服泰诺林一粒。至晚上九时，几次测温均在37度多点。略感身上酸痛，脑子有些浑浊，无其他不适。食欲、胃口正常。抽烟味觉正常。,1,1,,,,,,,,,,,,,,,,,,,
抗疫抗感染小套餐：从外面回到家，用氢负离子饮用水溶盐水，喷鼻子簌口润嗓子，保持口腔鼻腔咽部长期碱性。喝柠檬水也不错！健康。,1,1,,,,,,,,,,,,,,,,,,,
四季度最气愤填膺的几件事情:1.疫苗迟迟不覆盖幼儿2.疫苗第三针迟迟不覆盖青少年3.疫苗第四针迟迟不覆盖成年人！特别是医务工作者！是负担不起吗？没说你一定要批辉瑞的，你就打国内的重组也行啊！有吗？下面的人乱作为！专家假作为！上面的不作为！,"2,5,9","2,5,9",,,,,,,,,,,,,,,,,,,
二线以下的城市的医疗挤兑正在发生中！符合高风险的重症收不进来！低血氧的收不进来！医院所有科室打通都不够！废话！当然不够啦！不要说政策被误导，虽然某些网红的说辞只有4%，南方某大市说95%，但是目前看到的信息，当时一线并不是没有数据！且现在看当时的数据都能够和当下的情况符合！告诉我们，难道要用“何不食肉糜”来解释吗？请问谁来负责！谁能够负责？,"2,148,153","2,148,153",,,,,,,,,,,,,,,,,,,
从爱丁堡上传的数据看，各路变异已然登堂入室。有关单位说的“共循环”是否是山雨欲来风满楼？满世界滑天下之大稽的少见之少见的如此速度传染，如此规模传染，现在是如此种类的传染！我一直认为的“快速达峰”是伪命题，是纸上谈兵，是休克疗法！最后一定是赔了夫人又折兵！毫不夸张的说，晴洲大地存在大面积的投机主义！,"2,120,127","2,120,127",,,,,,,,,,,,,,,,,,,
我就想问哪位专家说跟感冒一样，已经第六天。头疼的爆炸～高温四十一度发烧四天～降温一身皮疹……晚上疼的睡不着～脸肿手肿脚肿全身不舒服～第六天头疼的不行。起床两步就累～任何事情做不了但也睡不着！感冒一个星期早好了。,1,1,,,,,,,,,,,,,,,,,,,
希望这该死的新冠历程赶紧结束，我想好好拥抱2023年。,1,1,,,,,,,,,,,,,,,,,,,
难忘的岁月，难忘的一年！希望忘却的一年.......,1,1,,,,,,,,,,,,,,,,,,,
三年的防疫经验，结果是无数的老人死去，救命物品疯狂抬价，药品买不到，医疗挤兑，各式各样的黄牛，偷盗快递药品。,"2,12,17","2,12,17",,,,,,,,,,,,,,,,,,,
最近有些浑身不得劲儿～不知道还会不会有其他症状～,1,1,,,,,,,,,,,,,,,,,,,
虽然舍不得海南，还是恋恋不舍回家跨年了。昨天下午2点的五环，堵成狗，从来没有如此欣喜地面对堵车，正常生活又回来了！,"0,41,43","0,41,43",,,,,,,,,,,,,,,,,,,
幸福是什么呢？是妈妈熬的浓稠梨梨汤，由内而外的温暖好像也没那么难受了,"0,24,26","0,24,26",,,,,,,,,,,,,,,,,,,
失去味觉的不知道多少天，吃什么都没味对一个吃货而言也太悲惨了!,"2,28,30","2,28,30",,,,,,,,,,,,,,,,,,,
生于华夏，长于盛世，何其有幸，不经战乱，不缺衣食，享受着国家庇护，安居乐业、国泰民安。可是突如其来的疫情放开政策导致着多少人没有一个完美的跨年日甚至无法跨年，老年人的死亡率持续上涨。 相信风雨终会过去，彩虹终究到来，新冠病毒终将会被打败，但愿所有人一起安好、一切顺利、身体健康。,"0,127,129,132,134","0,127,129,132,134",,,,,,,,,,,,,,,,,,,
2023年的前3个小时，是在买药中度过的。愿2023年，亲人朋友都能健健康康。,"0,35,39","0,35,39",,,,,,,,,,,,,,,,,,,
防新冠必备好物至今没阳是怎么过的？只是没轮到我早晚的事依旧紧张的防护着这几样东西必备！,1,1,,,,,,,,,,,,,,,,,,,
生活在这个社会最艰难的两点就在于，第一，很多宪法赋予的最基本的权利，需要靠申请或吵闹甚至斗争才能获得；第二，旁边有无数傻b在诅咒你为什么要去争取正当权利。与傻逼共存，比与病毒共存难多了，内耗太大了!经常怀疑自己是否在正常的人世间。,"2,79,81","2,79,81",,,,,,,,,,,,,,,,,,,
本来我们的疫情在20年就结束了，为什么现在成了这样?本质还不是因为其他国家抗疫不给力啊。一直倒灌我们疫情。,"2,40,43","2,40,43",,,,,,,,,,,,,,,,,,,
有个同事，平时也能说上话，他的专业能力不错，性格属于耿直类型。在我阳的那几天，他在电话里说，他让阳的同事，都要上班，只要起得来都要上班。从那天起，我决定默默把这个同事列入个人黑名单。,1,1,,,,,,,,,,,,,,,,,,,
听说最近大家又在疯狂屯蒙脱石散等止泻药。我觉得，这大可不必，过早使用收涩涩肠药，并不利于疾病恢复。这是推荐一个土方子吧，具体是：干香椿（如无，可用椿皮）15克，生姜30克，食盐2克。沸水冲泡15分钟即可服用。记得小时候胃肠炎腹泻呕吐，家里老人就搞这个来喝，喝上就好了，这绝对是扛把子，大家可以准备点。,1,1,,,,,,,,,,,,,,,,,,,
别再心怀幻想了，咱们的疫苗够14亿人打几轮的，全球之最，无可匹敌！绝对不接受外来嗟来之食。崇洋媚外的各自预约去国外打疫苗吧，司马南们赢了！,1,1,,,,,,,,,,,,,,,,,,,
专家学者用科学结论为国家提供决策参考。俗话说，他山之石可以攻玉。对于疫情防控方面的这种批评，我们一些专家还是需要认真反思的。国家给了你们待遇和位置，你们是应该静下心来认真做实实在在的研究工作，而不是到处抛头露面和大放厥词。因为那些专家的研究成果会影响政府决策措施和老百姓抗疫的态度方法。,"2,44,46","2,44,46",,,,,,,,,,,,,,,,,,,
民众宁愿相信吃药，也不相信自己的免疫力，可笑，我只能说，这罪，受得活该！,"2,34,36","2,34,36",,,,,,,,,,,,,,,,,,,
奥密克戎你牛波一，给姐烧到四十一特别前三天我的床单就没干过，不烧了之后隔不到两小时就又开始，每天你都在反复发烧的焦虑和潮湿的床单中过活而且根本没胃口吃东西，吃也只想吃挂面汤，那几天顿顿挂面汤头发油到直接定型，跟抹了发型喷雾似的到现在身上也没劲，拉屎都使不上力。,1,1,,,,,,,,,,,,,,,,,,,
这位大哥讲得不错！官媒都看不下去了，纷纷出来发声谴责！司马南那种碰瓷名人，搞对立，盖帽子、为了流量，无所不用其极、严重撕裂社会的行为，已经引起了公愤。司马南就是这个社会的一大公害，不除不足以平民愤。,"2,73,75","2,73,75",,,,,,,,,,,,,,,,,,,
这届孕妇真的太难了，小婴儿可怜，我算幸运的。感染了新冠，发烧倒没什么，那个打喷嚏和咳嗽伤口真是疼的要命。,"2,7,10","2,7,10",,,,,,,,,,,,,,,,,,,
前几天下乡采访对象正处感染中，同车两位同事阳康一位还咳得厉害，多面夹击真是很难挺到决赛圈…病毒对我还算友好，鼻塞流涕咳嗽轻痰，以为只是着凉上火重感冒，感觉嗓子配音很吃力，才买的感冒药。进不了决赛圈，表示很遗憾。,"2,103,105","2,103,105",,,,,,,,,,,,,,,,,,,
咳嗽一直一直不好。今天又去拿药，医生给我开的一堆药里有个橘红痰咳颗粒。冲服后喝了一口，真难喝。我怀念银黄颗粒。酸酸甜甜真好喝，趁热喝下去真舒服。,2，3，9,2，3，9,,,,,,,,,,,,,,,,,,,
为了我嗓子，我妈偏方都给我整起来了每天还要一直背书，希望我春节的时候嗓子恢复，继续叭叭叭,1,1,,,,,,,,,,,,,,,,,,,
昨天全国9500多人感染，死亡5人；而美国昨日新增32.7万，死了快2200人，不知道那些封控爱好者嚎个啥劲？对比一下这些数据，还对政府的工作不满？这些质疑防疫工作，鸡蛋里挑骨头的人，到处抱怨，制造社会对立情绪，莫不是行走的50万？,"2,84,90","2,84,90",,,,,,,,,,,,,,,,,,,
有些不能说，只能放在心里，相信大家心里都清楚，所以开放的新冠死亡人数是不准确的。不止是老年人，身边也有30左右的年轻人，大家不要掉以轻心，感染新冠后一个月之内不要做剧烈运动，不要受凉。,1,1,,,,,,,,,,,,,,,,,,,
杀牛，倒奶，也不给个人吃喝，我记得这是小时候课本里揭露资本主义的血腥本性，对人民冷漠无情本质时记忆深刻的一段。那时候我非常想不通，为什么牛奶倒阴沟里也不发给穷人喝，老师说资本家就是这么坏。,"2,38,45","2,38,45",,,,,,,,,,,,,,,,,,,
没一个冬天不可逾越，没一个春天不会来临。老妈新冠住院，听着医生口中的脑炎，白肺，各种基础病，真瑟瑟发抖.....祝愿正在住院的老妈能够平安渡过这个寒冷的冬天！感谢朋友千里迢迢给我们送来急用药品，一方有难，八方支援也看到很多网友也在求药，一定不能病急乱投医，听从专业人员的意见，有备无患总比临时抱佛脚好！,"0,68,72","0,68,72",,,,,,,,,,,,,,,,,,,
